date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,day_of_week,hour_of_day,is_weekend
2024-01-01,2H 0M 0S,Monday,SHEPPARD STATION,MUI,0,0,N,YU,5491,Monday,2,FALSE
2024-01-01,2H 0M 0S,Monday,DUNDAS STATION,MUIS,0,0,N,YU,0,Monday,2,FALSE
2024-01-01,2H 8M 0S,Monday,DUNDAS STATION,MUPAA,4,10,N,YU,6051,Monday,2,FALSE
2024-01-01,2H 13M 0S,Monday,KENNEDY BD STATION,PUTDN,10,16,E,BD,5284,Monday,2,FALSE
2024-01-01,2H 22M 0S,Monday,BLOOR STATION,MUPAA,4,10,N,YU,5986,Monday,2,FALSE
2024-01-01,2H 25M 0S,Monday,ST CLAIR STATION,MUPAA,3,9,N,YU,6051,Monday,2,FALSE
2024-01-01,2H 25M 0S,Monday,BLOOR STATION,MUIRS,0,0,S,YU,0,Monday,2,FALSE
2024-01-01,2H 27M 0S,Monday,WOODBINE STATION,EUDO,7,13,E,BD,5077,Monday,2,FALSE
2024-01-01,2H 28M 0S,Monday,FINCH STATION,MUIRS,0,0,S,YU,5561,Monday,2,FALSE
2024-01-01,2H 30M 0S,Monday,DAVISVILLE STATION,MUI,13,19,N,YU,6051,Monday,2,FALSE
2024-01-01,2H 36M 0S,Monday,FINCH STATION,MUI,24,30,S,YU,5931,Monday,2,FALSE
2024-01-01,2H 45M 0S,Monday,COLLEGE STATION,MUIR,12,18,N,YU,5816,Monday,2,FALSE
2024-01-01,3H 1M 0S,Monday,LAWRENCE WEST STATION,SUDP,3,9,N,YU,5726,Monday,3,FALSE
2024-01-01,3H 6M 0S,Monday,LAWRENCE WEST STATION,MUIS,0,0,S,YU,0,Monday,3,FALSE
2024-01-01,3H 17M 0S,Monday,VICTORIA PARK STATION,MUIS,0,0,NA,BD,0,Monday,3,FALSE
2024-01-01,3H 31M 0S,Monday,NORTH YORK CTR STATION,MUIRS,0,0,NA,YU,0,Monday,3,FALSE
2024-01-01,3H 50M 0S,Monday,KENNEDY BD STATION,MUIS,0,0,NA,BD,0,Monday,3,FALSE
2024-01-01,5H 26M 0S,Monday,FINCH STATION,SUAE,0,0,NA,YU,0,Monday,5,FALSE
2024-01-01,6H 0M 0S,Monday,KIPLING STATION,MUIS,0,0,NA,BD,0,Monday,6,FALSE
2024-01-01,7H 5M 0S,Monday,DUPONT STATION,MUNCA,0,0,NA,YU,0,Monday,7,FALSE
2024-01-01,7H 57M 0S,Monday,SHEPPARD WEST STATION,TUNOA,12,24,N,YU,0,Monday,7,FALSE
2024-01-01,8H 41M 0S,Monday,EGLINTON STATION,TUNOA,6,12,N,YU,0,Monday,8,FALSE
2024-01-01,8H 42M 0S,Monday,SHEPPARD WEST STATION,TUNIP,6,12,N,YU,6016,Monday,8,FALSE
2024-01-01,9H 6M 0S,Monday,COLLEGE STATION,SUO,0,0,S,YU,0,Monday,9,FALSE
2024-01-01,9H 9M 0S,Monday,ST CLAIR STATION,PUOPO,7,13,S,YU,5811,Monday,9,FALSE
2024-01-01,9H 17M 0S,Monday,SUMMERHILL STATION,PUOPO,6,12,S,YU,5811,Monday,9,FALSE
2024-01-01,9H 45M 0S,Monday,QUEEN STATION,SUO,10,16,S,YUS,5601,Monday,9,FALSE
2024-01-01,10H 8M 0S,Monday,EGLINTON STATION,TUNOA,6,12,N,YU,0,Monday,10,FALSE
2024-01-01,11H 18M 0S,Monday,QUEEN STATION,SUSA,0,0,N,YU,0,Monday,11,FALSE
2024-01-01,11H 39M 0S,Monday,OLD MILL STATION,TUSC,3,7,E,BD,5291,Monday,11,FALSE
2024-01-01,12H 11M 0S,Monday,SPADINA YUS STATION,MUIR,0,0,N,YU,5732,Monday,12,FALSE
2024-01-01,12H 54M 0S,Monday,ST PATRICK STATION,SUDP,0,0,S,YU,0,Monday,12,FALSE
2024-01-01,13H 24M 0S,Monday,VAUGHAN MC STATION,SUDP,0,0,NA,YU,0,Monday,13,FALSE
2024-01-01,14H 6M 0S,Monday,YONGE BD STATION,MUIR,0,0,E,BD,5284,Monday,14,FALSE
2024-01-01,14H 15M 0S,Monday,BLOOR STATION,MUIR,12,16,N,YU,5631,Monday,14,FALSE
2024-01-01,15H 15M 0S,Monday,LANSDOWNE STATION,MUDD,7,11,E,BD,5164,Monday,15,FALSE
2024-01-01,15H 23M 0S,Monday,ST GEORGE YUS STATION,PUMEL,0,0,NA,YU,0,Monday,15,FALSE
2024-01-01,15H 38M 0S,Monday,COLLEGE STATION,MUPAA,4,8,N,YU,6061,Monday,15,FALSE
2024-01-01,16H 5M 0S,Monday,SPADINA BD STATION,SUDP,0,0,NA,BD,0,Monday,16,FALSE
2024-01-01,16H 20M 0S,Monday,ROSEDALE STATION,SUDP,7,11,S,YU,6086,Monday,16,FALSE
2024-01-01,17H 17M 0S,Monday,BLOOR STATION,SUDP,0,0,S,YU,0,Monday,17,FALSE
2024-01-01,17H 35M 0S,Monday,ROSEDALE STATION,MUPAA,0,0,N,YU,5751,Monday,17,FALSE
2024-01-01,19H 1M 0S,Monday,DUFFERIN STATION,MUIRS,0,0,W,BD,0,Monday,19,FALSE
2024-01-01,19H 54M 0S,Monday,DONLANDS STATION,SUUT,0,0,W,BD,5016,Monday,19,FALSE
2024-01-01,20H 52M 0S,Monday,QUEEN STATION,MUPAA,7,13,S,YU,5861,Monday,20,FALSE
2024-01-01,21H 7M 0S,Monday,KENNEDY BD STATION,MUNOA,6,12,W,BD,5226,Monday,21,FALSE
2024-01-01,22H 0M 0S,Monday,YONGE-UNIVERSITY AND B,MUO,0,0,NA,YU/BD,0,Monday,22,FALSE
2024-01-01,22H 10M 0S,Monday,DUFFERIN STATION,MUIS,0,0,NA,BD,0,Monday,22,FALSE
2024-01-01,22H 13M 0S,Monday,ST GEORGE YUS STATION,SUDP,0,0,S,YU,6601,Monday,22,FALSE
2024-01-01,1M 0S,Monday,GO PROTOCOL - DANFORTH,MUO,0,0,NA,BD,0,Monday,0,FALSE
2024-01-01,44M 0S,Monday,VAUGHAN MC STATION,MUPAA,0,0,S,YU,6021,Monday,0,FALSE
2024-01-01,48M 0S,Monday,BLOOR STATION,SUO,0,0,S,YU,5776,Monday,0,FALSE
2024-01-01,1H 10M 0S,Monday,VAUGHAN MC STATION,MUO,8,14,S,YU,5921,Monday,1,FALSE
2024-01-01,1H 11M 0S,Monday,DUNDAS STATION,SUO,0,0,S,YU,0,Monday,1,FALSE
2024-01-01,1H 38M 0S,Monday,ST GEORGE YUS STATION,SUUT,0,0,N,YU,5796,Monday,1,FALSE
2024-01-01,1H 46M 0S,Monday,SHEPPARD WEST STATION,SUAE,0,0,NA,YU,0,Monday,1,FALSE
2024-01-02,2H 6M 0S,Tuesday,FINCH STATION,MUIS,0,0,S,YU,0,Tuesday,2,FALSE
2024-01-02,6H 2M 0S,Tuesday,SPADINA BD STATION,TUSC,0,0,E,BD,5176,Tuesday,6,FALSE
2024-01-02,6H 19M 0S,Tuesday,WARDEN STATION,MUIRS,0,0,NA,BD,0,Tuesday,6,FALSE
2024-01-02,6H 42M 0S,Tuesday,ST CLAIR WEST STATION,MUIS,0,0,NA,YU,0,Tuesday,6,FALSE
2024-01-02,6H 53M 0S,Tuesday,CHRISTIE STATION,SUO,0,0,NA,BD,0,Tuesday,6,FALSE
2024-01-02,7H 40M 0S,Tuesday,DAVISVILLE STATION,SUDP,6,9,S,YU,6076,Tuesday,7,FALSE
2024-01-02,7H 45M 0S,Tuesday,ST GEORGE YUS STATION,MUIR,0,0,N,YU,5416,Tuesday,7,FALSE
2024-01-02,7H 47M 0S,Tuesday,BLOOR STATION,SUO,0,0,N,YU,0,Tuesday,7,FALSE
2024-01-02,8H 38M 0S,Tuesday,BLOOR STATION,PUOPO,0,0,N,YU,5811,Tuesday,8,FALSE
2024-01-02,8H 44M 0S,Tuesday,ST CLAIR STATION,PUOPO,6,9,N,YU,5811,Tuesday,8,FALSE
2024-01-02,8H 51M 0S,Tuesday,DUNDAS STATION,MUSAN,3,6,N,YU,5451,Tuesday,8,FALSE
2024-01-02,9H 12M 0S,Tuesday,BROADVIEW STATION,EUME,9,12,W,BD,5004,Tuesday,9,FALSE
2024-01-02,9H 22M 0S,Tuesday,BAY STATION,SUDP,0,0,NA,BD,0,Tuesday,9,FALSE
2024-01-02,9H 33M 0S,Tuesday,FINCH WEST STATION,MUIR,4,7,N,YU,5851,Tuesday,9,FALSE
2024-01-02,10H 38M 0S,Tuesday,ROSEDALE STATION,SUDP,0,0,NA,YU,0,Tuesday,10,FALSE
2024-01-02,11H 13M 0S,Tuesday,CHESTER STATION,SUO,0,0,NA,BD,0,Tuesday,11,FALSE
2024-01-02,11H 48M 0S,Tuesday,QUEEN'S PARK STATION,SUO,0,0,S,YU,5791,Tuesday,11,FALSE
2024-01-02,12H 20M 0S,Tuesday,COLLEGE STATION,SUDP,0,0,NA,YU,0,Tuesday,12,FALSE
2024-01-02,13H 12M 0S,Tuesday,DOWNSVIEW PARK STATION,EUDO,5,10,N,YU,5806,Tuesday,13,FALSE
2024-01-02,13H 42M 0S,Tuesday,ST GEORGE YUS STATION,SUO,3,8,S,YU,5961,Tuesday,13,FALSE
2024-01-02,13H 46M 0S,Tuesday,EGLINTON STATION,MUI,3,8,N,YU,5576,Tuesday,13,FALSE
2024-01-02,13H 55M 0S,Tuesday,KEELE STATION,MUPAA,0,0,E,BD,5021,Tuesday,13,FALSE
2024-01-02,14H 3M 0S,Tuesday,NORTH YORK CTR STATION,SUDP,8,13,S,YU,5481,Tuesday,14,FALSE
2024-01-02,14H 7M 0S,Tuesday,WELLESLEY STATION,SUDP,0,0,NA,YU,0,Tuesday,14,FALSE
2024-01-02,14H 9M 0S,Tuesday,KENNEDY BD STATION,SUAP,0,0,NA,BD,0,Tuesday,14,FALSE
2024-01-02,14H 36M 0S,Tuesday,ST GEORGE YUS STATION,SUDP,21,26,S,YU,6051,Tuesday,14,FALSE
2024-01-02,15H 9M 0S,Tuesday,KIPLING STATION,MUIR,3,6,E,BD,5017,Tuesday,15,FALSE
2024-01-02,15H 12M 0S,Tuesday,MUSEUM STATION,SUDP,8,13,S,YU,5886,Tuesday,15,FALSE
2024-01-02,15H 43M 0S,Tuesday,KEELE STATION,TUNIP,3,6,W,BD,5037,Tuesday,15,FALSE
2024-01-02,15H 54M 0S,Tuesday,DAVISVILLE STATION,MUDD,6,11,N,YU,5441,Tuesday,15,FALSE
2024-01-02,16H 5M 0S,Tuesday,ISLINGTON STATION,TUSC,0,0,E,BD,5307,Tuesday,16,FALSE
2024-01-02,16H 31M 0S,Tuesday,DONLANDS STATION,MUSC,0,0,W,BD,5029,Tuesday,16,FALSE
2024-01-02,16H 32M 0S,Tuesday,PIONEER VILLAGE STATIO,SUO,0,0,S,YU,5551,Tuesday,16,FALSE
2024-01-02,16H 52M 0S,Tuesday,BLOOR STATION,MUIRS,0,0,NA,YU,0,Tuesday,16,FALSE
2024-01-02,16H 53M 0S,Tuesday,BLOOR STATION,SUDP,0,0,N,YU,0,Tuesday,16,FALSE
2024-01-02,18H 0M 0S,Tuesday,WOODBINE STATION,MUSC,0,0,E,BD,5098,Tuesday,18,FALSE
2024-01-02,18H 7M 0S,Tuesday,DUNDAS STATION,MUIS,0,0,NA,YU,0,Tuesday,18,FALSE
